ID,Site,Core,DepthInterval,Center_DepthInterval,SoilType,ThawDepth,ActiveLayer,water%,pH,perC,perN,BulkDensity
Mi6D13,Mi,6,  13-25,19,O,Below,Y,,,37.2,1.42,0.1264
Mi6D25,Mi,6,  25-30,27.5,O,Below,Y,0.79,,37.05,1.95,0.2924
Mi6D30,Mi,6,  30-40,35,M,Below,Y,0.29,5.06,7.13,0.25,1.0763
Mi6D40,Mi,6,40-50,45,M,Below,Y,0.18,5,6.67,0.22,1.0418
Mi6D50,Mi,6,  50-60,55,M,Below,Y,0.47,5.1,16.52,0.48,0.3061
Mi6D60,Mi,6,  60-70,65,M,Below,Y,,5.26,12.79,0.51,0.3708
Mi7D0,Mi,7,  0-15,7.5,O,Above,Y,,,42.36,0.89,0.0405
Mi7D15,Mi,7,  15-25,20,O,Below,Y,0.79,4.44,40.67,1.75,0.1735
Mi7D25,Mi,7,  25-34,29.5,O,Below,Y,0.68,4.62,34.67,1.75,0.3119
Mi7D34,Mi,7,34-36,35,,Below,Y,,4.96,,,
Mi7D36,Mi,7,  36-46,41,M,Below,Y,0.41,5.07,12.52,0.51,0.29
Mi7D46,Mi,7,  46-56,51,M,Below,Y,0.72,5.08,23.12,1.19,0.3434
Mi7D76,Mi,7,  76-81.5,78.75,M,Below,N,,,16.02,0.66,0.2533
Mo1D0,Mo,1,  0-15,7.5,O,Above,Y,,,42.97,0.76,0.065
Mo1D40,Mo,1,  40-50,45,M,Below,Y,0.41,,15.47,0.62,0.3535
Mo1D50,Mo,1,  50-60,55,M,Below,Y,,,8.86,0.33,0.7129
Mo1D60,Mo,1,  60-70,65,M,Below,Y,0.55,5.46,21.2,0.8,0.2762
Mo2D0,Mo,2,  0-15,7.5,O,Above,Y,0.86,4.15,42.36,0.74,0.0806
Mo2D15,Mo,2,  15-25,20,O,Below,Y,0.81,4.24,38.15,1.53,0.1365
Mo2D25,Mo,2,  25-35,30,O,Below,Y,0.74,4.73,41.11,1.89,0.2459
Mo2D35,Mo,2,  35-45,40,M,Below,Y,0.29,5.53,7.42,0.21,1.1801
Mo2D45,Mo,2,  45-55,50,M,Below,Y,0.63,5.01,22.91,0.73,0.456
Mo2D55,Mo,2,  55-65,60,M,Below,Y,0.59,5.04,25.19,1.06,0.335
Mo3D0,Mo,3,  0-16.5,8.25,O,Above,Y,,,41.99,0.58,0.0805
Mo3D16,Mo,3,  16.5-25,20.75,O,Below,Y,0.82,4.24,38.2,1.45,0.1777
Mo3D25,Mo,3,  25-35,30,O,Below,Y,0.76,5.91,40.03,1.95,0.2504
Mo3D35,Mo,3,  35-45,40,O,Below,Y,0.63,5.08,36.81,1.66,0.3036
Mo3D45,Mo,3,  45-62,53.5,O,Below,Y,0.69,5.25,36.81,1.66,0.3036
Mo4D0,Mo,4,  0-17,8.5,O,Above,Y,,,40.5,1.21,0.0827
Mo4D17,Mo,4,  17-25,21,O,Below,Y,0.8,4.28,39.58,1.77,0.1684
Mo4D25,Mo,4,  25-34,29.5,O,Below,Y,0.71,4.64,41.71,2.02,0.2331
Mo4D34,Mo,4,  34-46,40,M,Below,Y,0.29,4.66,8.76,0.3,0.9908
Mo4D46,Mo,4,  46-56,51,M,Below,Y,0.65,5.29,24.58,1.02,0.3564
Mo4D56,Mo,4,  56-66,61,M,Below,Y,0.59,5.25,24.79,1.15,0.321
Mo4D66,Mo,4,  66-76,71,M,Below,N,0.58,5.8,21.08,0.89,0.5532
Mo5D5,Mo,5,  5-15,10,O,Above,Y,0.79,4.4,42.64,0.82,0.0447
Mo5D15,Mo,5,  15-25,20,O,Below,Y,0.83,4.15,39.92,1.18,0.0918
Mo5D25,Mo,5,  25-35,30,O,Below,Y,0.8,4.3,40.98,1.88,0.183
Mo5D35,Mo,5,  35-45,40,O,Below,Y,0.77,4.58,33.55,1.63,0.2872
Mo5D45,Mo,5,  45-55,50,M,Below,Y,0.78,4.69,10.74,0.49,0.3199
Mo5D55,Mo,5,  55-65,60,M,Below,Y,0.68,4.85,4.31,0.2,0.3392
Mo5D85,Mo,5,  85-91,88,M,Below,N,,5.57,14.84,0.68,0.2395
Mo6D0,Mo,6,0-5,2.5,O,Above,Y,,4.24,,,
Mo6D5,Mo,6,  5-16,10.5,O,Above,Y,0.93,4.11,40.47,0.78,0.057
Mo6D16,Mo,6,  16-25,20.5,O,Below,Y,0.84,4.24,39.64,1.4,0.1476
Mo6D25,Mo,6,  25-35,30,O,Below,Y,0.76,4.59,39.9,1.69,0.214
Mo6D35,Mo,6,  35-45,40,O,Below,Y,0.36,5.17,29.61,1.4,0.3241
Mo6D45,Mo,6,45-59,52,O,Below,Y,0.73,4.8,29.61,1.4,0.3241
Mo6D59,Mo,6,  59-69,64,M,Below,Y,0.52,5.09,19.99,0.76,0.3921
Mo6D69,Mo,6,  69-71,70,M,Below,Y,,,31.87,1.07,0.4221
