"generation","abundance"
1,4000
2,5920
3,7852.288
4,9201.44425320448
5,9789.27354818168
6,9954.30225863666
7,9990.69338904208
8,9998.13174876781
9,9999.62607052455
10,9999.92520291905
11,9999.98504013624
12,9999.99700800934
